year,iso,pop_urban,pop_total,va_ag
2005,AFG,5739959,25070796,2266.793
2005,AGO,7071959,19552544,1870.877
2005,ALB,1407298,3011487.3,1517.435
2005,ARE,3767239,4579561.5,2520.408
2005,ARG,35263821,39145488,15917.97
2005,AUS,17947424,20394800,20880.91
2005,AUT,5415886,8227829,3978.536
2005,BDI,695933,7423285.5,456.3197
2005,BEL,10608677,10943776,3374.816
2005,BEN,3191453,7982225,1187.171
2005,BFA,2890681,13421930,1927.984
2005,BGD,38452444,143431104,11134.25
2005,BGR,5406009,7658972.5,2160.01
2005,BHR,786025,889168.56,51.56548
2005,BHS,270906,329248.91,157.7679
2005,BLZ,131188,283276.13,148.2743
2005,BOL,5857965,9125409,1126.101
2005,BRA,154831127,186917360,41471.39
2005,BRB,90256,274009.53,60.6
2005,CAF,1571330,4127909,606.9466
2005,CAN,25889021,32312000,20039.92
2005,CHE,5464346,7437115,3520.199
2005,CHL,14119477,16147064,4637.412
2005,CHN,554367818,1303720064,273557.9
2005,CIV,8587991,18336304,3860.043
2005,CMR,8456228,17420794,3157.741
2005,COG,22787440,58469720,2858.657
2005,COL,31850002,43285632,11323.08
2005,CRI,2789515,4247841.5,13.12982
2005,CUB,8591153,11284252,1962.7
2005,CYP,701562,1027658.7,511.9108
2005,CZE,10500952,15584024,4589.965
2005,DEU,60495445,82469424,19646.32
2005,DJI,601234,783254.5,22.60284
2005,DNK,4652908,5419432.5,3029.894
2005,DOM,6222794,9237566,2560.987
2005,DZA,21248009,33288436,7937.297
2005,ECU,8476150,13735233,3935.357
2005,EGY,33035334,76778144,12895.92
2005,ESP,33727737,43653156,31385.86
2005,ETH,12046152,76727080,5100.132
2005,FIN,4349276,5246096,4665.97
2005,FJI,409848,821816.31,355.5121
2005,FRA,48730237,63179360,37084.02
2005,GAB,1170502,1403126.4,477.4772
2005,GBR,48269624,60401208,14396.41
2005,GHA,10191094,21542010,5234.963
2005,GIN,3175634,9679746,586.8658
2005,GMB,755925,1444203.6,168.9378
2005,GNB,564307,1380837.8,260.2925
2005,GNQ,294263,757316.75,130.5196
2005,GRC,8180275,10987314,10615.31
2005,GTM,6177658,13096027,3372.02
2005,GUY,212525,750945.19,310.968
2005,HND,3577293,7373429.5,1216.79
2005,HTI,4083679,9263404,919.2725
2005,HUN,6693171,10087066,4156.086
2005,IDN,104145027,226712720,36419.3
2005,IND,334483094,1144118656,145011.7
2005,IRL,2515791,4159913.8,2188.88
2005,IRN,47575567,70421816,14724.36
2005,IRQ,18572614,27008426,3440.325
2005,ISL,276072,296733.56,805.4963
2005,ISR,39509,76117.906,2226.762
2005,ITA,39267369,57969488,37589.61
2005,JAM,1449489,2744672.3,583.1339
2005,JOR,4638544,5714111,347.2531
2005,JPN,109856670,127773008,57639.3
2005,KEN,7813466,36048288,4491.969
2005,KHM,2544428,13270200,1932.599
2005,KIR,40208,92323.945,22.75436
2005,KOR,39195731,48184560,25509.89
2005,KWT,2235348,2276623.3,243.1507
2005,LAO,1575798,5754027.5,934.1403
2005,LBN,3451976,3986852,765.5058
2005,LBR,1501829,3261230,404
2005,LBY,4454577,5792688,1106.327
2005,LKA,3561145,19373002,2189.563
2005,MAR,16825045,30521070,7366.856
2005,MDG,5283544,18336726,1294.102
2005,MEX,82772988,108472232,26436.95
2005,MLI,4103283,12798762,1959.555
2005,MLT,378170,403833.66,123.9067
2005,MMR,14026020,48482616,5570.174
2005,MNG,1578877,2526445.8,475.7155
2005,MOZ,6276712,20923070,1811.927
2005,MRT,1663258,3130721,615.4033
2005,MUS,511212,1228255,322.9904
2005,MWI,1962998,13039711,1203.321
2005,MYS,17087616,25659390,11859.23
2005,NER,2277005,13618451,1430.249
2005,NGA,54289212,138939472,46016.88
2005,NIC,3008820,5379329,1020.129
2005,NLD,13485107,16319869,12144.95
2005,NOR,3582588,4623291,4334.963
2005,NPL,3892965,25640288,2793.541
2005,NZL,3557304,4133900.5,5182.805
2005,OMN,1818159,2511269.3,502.4347
2005,PAK,53452827,153909664,26903.41
2005,PAN,2120474,3330465.5,1006.6
2005,PER,20717195,27610410,5214.753
2005,PHL,40206383,86274240,13053.82
2005,PNG,827795,6314707.5,1586.013
2005,POL,23453429,38165444,8847.519
2005,PRK,14295887,23904166,3259.274
2005,PRT,6041725,10503329,4528.891
2005,PRY,3323716,5795494.5,1579.197
2005,QAT,842800,864862.69,59.34317
2005,ROM,11336529,21319684,8354.976
2005,RWA,1733786,8991733,991.3546
2005,SDN,11517740,39020796,11606.4
2005,SEN,4626408,11251266,1272.23
2005,SGP,4265762,4265762,70.17554
2005,SLE,2084547,5658379.5,815.2031
2005,SLV,3716734,6028961.5,1676.97
2005,SOM,3659713,10409924,1222.129
2005,SUN,175815506,271360672,60049.58
2005,SUR,332707,498945.75,233.3627
2005,SWE,7613645,9029572,3905.882
2005,SYC,42303,82857.695,29.9127
2005,TCD,2194709,10067010,1720.754
2005,TGO,1999658,5683268.5,828.559
2005,THA,24547636,65425468,17413.67
2005,TTO,128422,1296929.9,83.8154
2005,TUN,6576514,10102482,2959.298
2005,TUR,46026966,67903408,45184.86
2005,TZA,9791550,39410544,5275.239
2005,URY,3103428,3325612.3,1518.526
2005,USA,236200507,295516608,128600
2005,VEN,23720857,26784162,5377.007
2005,VNM,22477389,82392096,10795.48
2005,YEM,5955876,20582926,1807.684
2005,YUG,17725776,33426062,7111.974
2005,ZAF,28343107,47606672,6159.77
2005,ZMB,4412535,12052156,1215.498
2005,ZWE,4413845,12940032,683.948